product_id,brand,category,sub_category,mrp
135,The Body Shop,Personal Care,Mascara,2100.3
136,Pond's,Personal Care,Sunscreen,
137,Forest Essentials,Makeup,Oil,4501.33
138,Nykaa Naturals,Fragrance,Compact,1994.62
139,The Body Shop,Makeup,Handwash,2012.07
140,Biotique,Personal Care,Sanitizer,1773.95
141,WOW Skin Science,Skincare,Eyeliner,4767.13
142,,Skincare,Sunscreen,2521.15
143,Himalaya,Personal Care,Face Wash,3961.66
144,Himalaya,Fragrance,Shampoo,4838.78
145,Nivea,Makeup,Face Wash,2924.09
146,Maybelline,Fragrance,Serum,854.48
147,WOW Skin Science,Skincare,Eyeliner,2066.45
148,The Body Shop,Skincare,Eyeliner,4430.08
149,The Body Shop,Fragrance,Lipstick,2422.31
150,The Body Shop,Fragrance,Mask,2819.89
151,Forest Essentials,Personal Care,Mascara,1879.28
152,The Body Shop,Skincare,Body Mist,361.69
153,The Body Shop,Fragrance,Mask,1636.73
154,,Skincare,,3485.84
155,,Makeup,Deodorant,4155.18
156,Maybelline,Haircare,Moisturizer,882.96
157,Pond's,Skincare,Handwash,3770.12
158,Nykaa Naturals,Skincare,Sanitizer,359.29
159,Mamaearth,,Perfume,1910.12
160,Nykaa Naturals,Fragrance,Deodorant,4842.83
161,Forest Essentials,Personal Care,Sunscreen,599.04
162,Himalaya,Fragrance,Deodorant,4474.6
163,Biotique,Personal Care,Deodorant,1697.9
164,Forest Essentials,Makeup,Hair Mask,3707.61
165,The Body Shop,Skincare,Soap,4952.84
166,Himalaya,Makeup,Serum,
167,The Body Shop,Fragrance,Serum,1312.97
168,Lakme,Haircare,Hair Mask,2967.25
169,Forest Essentials,Skincare,Handwash,1825.18
170,Lakme,Makeup,Handwash,4997.89
171,Forest Essentials,Makeup,Sunscreen,2755.52
172,Lakme,Haircare,Moisturizer,763.63
173,Pond's,Fragrance,Handwash,3478.5
174,Maybelline,Skincare,Conditioner,2429.55
175,Pond's,Haircare,Moisturizer,1938.7
176,L'Oreal,Makeup,Deodorant,3810.41
177,Lakme,Skincare,Handwash,3876.32
178,Himalaya,Personal Care,,1776.69
179,Maybelline,Skincare,Oil,4602.72
180,Maybelline,Skincare,Perfume,2865.47
181,Nivea,Personal Care,Shampoo,3654.55
182,Forest Essentials,Makeup,Mask,1701.49
183,The Body Shop,,Compact,4653.39
184,Maybelline,Skincare,Handwash,4185.98
185,Forest Essentials,Makeup,Deodorant,597.9
186,Himalaya,Fragrance,Mask,1431.83
187,Biotique,Haircare,Sanitizer,2314.53
188,Maybelline,Haircare,Body Lotion,1194.73
189,Nykaa Naturals,Skincare,Serum,4974.63
190,Nivea,Makeup,Sanitizer,2773.88
191,Forest Essentials,Makeup,Hair Mask,3579.74
192,Mamaearth,Makeup,Body Mist,2040.45
193,Nivea,Makeup,Compact,
194,Lakme,Haircare,Sanitizer,133.77
195,The Body Shop,Personal Care,Hair Mask,2027.89
196,Maybelline,Personal Care,Mascara,3230.42
197,Maybelline,,Soap,696.97
198,The Body Shop,Skincare,Deodorant,2618.14
199,Mamaearth,Skincare,Mask,4340.36
200,Forest Essentials,Makeup,Deodorant,1096.33
201,Forest Essentials,Personal Care,Deodorant,1312.44
202,Mamaearth,Makeup,Conditioner,2082.46
203,Mamaearth,Personal Care,Hair Mask,199.16
204,Forest Essentials,Personal Care,Mask,554.87
205,L'Oreal,Personal Care,Hair Mask,4988.05
206,WOW Skin Science,Personal Care,Mask,3337.91
207,Pond's,Skincare,Mascara,754.15
208,Nykaa Naturals,Haircare,Mask,3725.9
209,Forest Essentials,Fragrance,Soap,4643.45
210,Himalaya,Makeup,Handwash,
211,L'Oreal,Fragrance,Lipstick,490.82
212,Lakme,Makeup,Lipstick,2795.62
213,The Body Shop,Fragrance,Body Lotion,1732.37
214,Forest Essentials,Personal Care,Body Mist,3506.75
215,Lakme,Personal Care,Sunscreen,3254.0
216,Lakme,Skincare,Perfume,376.9
217,Biotique,Personal Care,Oil,4797.96
218,Nykaa Naturals,Skincare,Compact,944.64
219,Nivea,Makeup,Conditioner,1567.44
220,Himalaya,Makeup,Foundation,2390.81
221,Nivea,Personal Care,Body Lotion,1309.3
222,,Haircare,Face Wash,4209.32
223,Nykaa Naturals,,Compact,1543.52
224,Himalaya,Personal Care,Deodorant,1612.38
225,Lakme,Fragrance,Sanitizer,298.94
226,WOW Skin Science,Personal Care,Handwash,
227,L'Oreal,Personal Care,Sanitizer,567.89
228,L'Oreal,Personal Care,,4858.95
229,Lakme,Fragrance,Moisturizer,4310.25
230,Forest Essentials,Haircare,Deodorant,681.76
231,Biotique,Personal Care,Serum,3392.05
232,Mamaearth,Makeup,Perfume,524.02
233,The Body Shop,Personal Care,Moisturizer,
234,L'Oreal,Personal Care,Body Mist,4212.1
235,Nivea,Skincare,Deodorant,565.85
236,Maybelline,,Sanitizer,2625.0
237,The Body Shop,Skincare,Sunscreen,3851.45
238,Nivea,Skincare,Body Mist,1450.41
239,Mamaearth,Skincare,Moisturizer,2179.39
240,,Skincare,Oil,52.32
241,Maybelline,Haircare,Sunscreen,660.84
242,Maybelline,Makeup,Compact,4444.34
243,Nivea,Fragrance,Mascara,1001.87
244,L'Oreal,Skincare,Face Wash,2486.21
245,Nivea,Haircare,Handwash,4020.76
246,Lakme,Personal Care,Mask,4596.31
247,Himalaya,Haircare,Perfume,2227.38
248,Biotique,Fragrance,Face Wash,1944.66
249,Mamaearth,Haircare,Serum,3162.52
250,Mamaearth,Haircare,Body Mist,4312.58
251,Lakme,Skincare,Mascara,2888.29
252,The Body Shop,Personal Care,Body Mist,4441.35
253,Nivea,Skincare,Serum,460.11
254,L'Oreal,Haircare,Body Lotion,4710.17
255,Himalaya,Haircare,Foundation,3683.84
256,Maybelline,Haircare,Body Mist,
257,Pond's,Haircare,Body Lotion,3134.89
258,Maybelline,Personal Care,Perfume,4419.54
259,Pond's,Fragrance,Face Wash,4797.26
260,The Body Shop,Makeup,Body Mist,3735.7
261,Nivea,Fragrance,Eyeliner,935.45
262,L'Oreal,Fragrance,Deodorant,4029.64
263,Biotique,Personal Care,Oil,3001.37
264,The Body Shop,,Deodorant,2826.9
265,Nivea,Personal Care,Deodorant,1011.25
266,Biotique,Fragrance,Lipstick,2749.28
267,Mamaearth,Haircare,Sanitizer,2517.41
268,Forest Essentials,Haircare,Shampoo,2730.42
269,Pond's,Skincare,Mascara,1532.14
270,L'Oreal,Personal Care,Body Mist,3932.37
271,Lakme,Makeup,Serum,208.92
272,WOW Skin Science,Fragrance,Shampoo,3070.58
273,Forest Essentials,Fragrance,Body Lotion,3247.15
274,Biotique,Fragrance,Body Mist,3852.38
275,The Body Shop,Makeup,Deodorant,715.61
276,Pond's,Fragrance,Conditioner,4085.42
277,L'Oreal,Makeup,Serum,2416.48
278,,Haircare,Handwash,2160.38
279,Pond's,Fragrance,Oil,2759.72
280,Nivea,Fragrance,Foundation,1639.35
281,,Haircare,Mascara,3818.42
282,Biotique,Skincare,Conditioner,773.71
283,L'Oreal,Fragrance,Mascara,3474.78
284,,Makeup,Soap,4454.45
285,Himalaya,Makeup,Sunscreen,1392.96
286,Himalaya,Makeup,Body Lotion,2773.64
287,Mamaearth,Skincare,Conditioner,
288,Maybelline,Haircare,Serum,76.97
289,WOW Skin Science,Fragrance,Mascara,2301.92
290,The Body Shop,Skincare,Body Mist,4191.62
291,Forest Essentials,Skincare,Serum,3418.23
292,Nivea,Haircare,Body Mist,4153.62
293,Himalaya,Makeup,Soap,4572.08
294,L'Oreal,Personal Care,Perfume,3460.82
295,Forest Essentials,Skincare,Foundation,608.09
296,L'Oreal,Skincare,Deodorant,4708.97
297,Nykaa Naturals,Skincare,Compact,552.71
298,Pond's,Fragrance,Sanitizer,3518.23
299,Maybelline,Haircare,,245.52
300,Biotique,Fragrance,Soap,880.39
301,Maybelline,Haircare,Perfume,4372.88
302,Mamaearth,Fragrance,Deodorant,2202.59
303,Nykaa Naturals,Fragrance,Mascara,1692.92
304,WOW Skin Science,Skincare,Deodorant,2930.6
305,Maybelline,Haircare,Mascara,2512.39
306,Nivea,Skincare,Sanitizer,1304.02
307,Maybelline,Personal Care,,1587.44
308,Himalaya,Haircare,Soap,2816.07
309,,Personal Care,Body Mist,2366.95
310,,Makeup,Mask,2004.85
311,WOW Skin Science,,Body Mist,1548.28
312,Maybelline,Personal Care,Hair Mask,1169.4
313,Forest Essentials,Haircare,Mask,2265.55
314,Forest Essentials,Personal Care,Handwash,4576.62
315,Pond's,Skincare,Handwash,3279.85
316,Biotique,Haircare,,3656.2
317,The Body Shop,Makeup,Mascara,3044.14
318,Forest Essentials,Fragrance,,1083.11
319,Biotique,Personal Care,Eyeliner,
320,Nykaa Naturals,Haircare,Sunscreen,59.72
321,Maybelline,Haircare,Compact,4894.74
322,Nykaa Naturals,Skincare,,982.32
323,Nykaa Naturals,Fragrance,Serum,284.09
324,Himalaya,Skincare,Perfume,1593.4
325,Nykaa Naturals,Skincare,Serum,1419.86
326,Mamaearth,Skincare,Body Mist,4288.77
327,L'Oreal,Haircare,Compact,4842.67
328,Maybelline,Haircare,Compact,460.03
329,Maybelline,Haircare,,227.01
330,Himalaya,Haircare,Shampoo,4826.9
331,Lakme,Haircare,Deodorant,3981.92
332,Nivea,Makeup,Moisturizer,3692.37
333,Maybelline,Personal Care,Deodorant,1461.66
334,,Fragrance,Body Lotion,1783.29
335,Forest Essentials,Skincare,Soap,527.14
336,Nivea,Makeup,Body Lotion,2454.54
337,Himalaya,Haircare,Hair Mask,1532.76
338,L'Oreal,Makeup,Eyeliner,503.54
339,L'Oreal,Haircare,Shampoo,1914.37
340,Nivea,Makeup,,3118.54
341,Himalaya,Makeup,Mascara,2919.56
342,Nivea,Haircare,Serum,3262.2
343,Nykaa Naturals,Fragrance,Lipstick,4985.53
344,Mamaearth,Fragrance,Mascara,
345,Nivea,Personal Care,Deodorant,1066.92
346,Forest Essentials,,Perfume,2771.81
347,Biotique,Personal Care,Deodorant,1080.92
348,Biotique,Makeup,Foundation,489.6
349,Maybelline,Fragrance,Sunscreen,3249.2
350,Lakme,Personal Care,Body Mist,689.97
351,Lakme,Makeup,Serum,2123.77
352,Biotique,Skincare,Serum,4533.8
353,Mamaearth,Skincare,Perfume,170.08
354,Himalaya,Haircare,Mascara,2042.21
355,Lakme,Haircare,Body Mist,2509.35
356,L'Oreal,,Body Mist,3451.73
357,Nivea,Fragrance,Handwash,4433.48
358,L'Oreal,Makeup,,3183.84
359,The Body Shop,Fragrance,Moisturizer,261.3
360,Forest Essentials,Haircare,Body Mist,2308.08
361,,Fragrance,Deodorant,294.89
362,Biotique,Makeup,Foundation,331.15
363,Nivea,Haircare,Deodorant,4654.98
364,Pond's,Haircare,Sanitizer,3808.57
365,Mamaearth,Fragrance,Hair Mask,171.54
366,L'Oreal,Makeup,Hair Mask,3105.64
367,Forest Essentials,Makeup,Conditioner,1269.37
368,,Makeup,Moisturizer,2758.45
369,Nivea,Makeup,Body Lotion,475.98
370,Lakme,Personal Care,Body Lotion,1808.58
371,Nivea,,Mascara,646.45
372,Nykaa Naturals,,Serum,1082.73
373,Nykaa Naturals,Makeup,Serum,2964.86
374,,Fragrance,Serum,1596.91
375,Mamaearth,Personal Care,Serum,874.58
376,WOW Skin Science,Haircare,Perfume,3046.83
377,L'Oreal,Fragrance,Lipstick,3069.17
378,Forest Essentials,Fragrance,Hair Mask,2338.8
379,Himalaya,Haircare,Eyeliner,857.89
380,,Personal Care,Eyeliner,294.38
381,Nivea,Personal Care,Mask,2539.35
382,The Body Shop,Makeup,Sanitizer,3796.46
383,Nivea,Fragrance,Hair Mask,322.59
384,Mamaearth,Fragrance,Sunscreen,418.86
385,Maybelline,Skincare,Handwash,1937.74
386,Pond's,Fragrance,Moisturizer,1924.34
387,Pond's,Makeup,Eyeliner,556.04
388,Nykaa Naturals,Haircare,Conditioner,379.38
389,The Body Shop,Skincare,Sanitizer,3545.03
390,The Body Shop,Skincare,Perfume,3505.04
391,Nivea,Makeup,Mascara,4636.36
392,Biotique,Makeup,Soap,2659.8
393,WOW Skin Science,Personal Care,Body Lotion,3109.71
394,L'Oreal,Fragrance,Eyeliner,2507.49
395,Pond's,Makeup,Soap,1427.09
396,Nivea,Personal Care,Face Wash,4960.15
397,Lakme,Haircare,Deodorant,1249.74
398,Forest Essentials,Personal Care,Deodorant,2810.63
399,Lakme,Personal Care,Moisturizer,3203.43
400,Nykaa Naturals,Fragrance,Deodorant,2249.01
401,L'Oreal,Makeup,Mascara,4852.48
402,,Personal Care,Shampoo,540.24
403,,Haircare,Foundation,4369.97
404,Forest Essentials,Skincare,Hair Mask,1519.14
405,WOW Skin Science,Fragrance,,280.74
406,Nykaa Naturals,Fragrance,Oil,1287.59
407,L'Oreal,Fragrance,Sunscreen,2284.1
408,Nivea,Haircare,,1287.15
409,Mamaearth,Fragrance,Hair Mask,1796.67
410,Pond's,Fragrance,Handwash,1089.53
411,L'Oreal,Personal Care,Soap,2860.85
412,Nivea,Fragrance,Mask,2043.77
413,Nivea,Personal Care,Serum,569.52
414,Himalaya,Makeup,Shampoo,3169.06
415,Maybelline,Haircare,,485.4
416,Mamaearth,Makeup,Shampoo,
417,WOW Skin Science,Makeup,Eyeliner,2105.42
418,The Body Shop,Fragrance,Sanitizer,176.75
419,Lakme,Haircare,Moisturizer,3170.74
420,Nivea,Haircare,Sunscreen,2646.8
421,L'Oreal,Skincare,Perfume,2418.56
422,L'Oreal,Fragrance,Serum,4928.32
423,Biotique,Makeup,Perfume,2533.68
424,Biotique,Fragrance,Body Lotion,2487.92
425,Pond's,Makeup,Body Mist,1059.91
426,Nykaa Naturals,Fragrance,Compact,1680.89
427,WOW Skin Science,Skincare,Shampoo,3200.8
428,Nivea,Makeup,Soap,3163.98
429,Nykaa Naturals,Skincare,Soap,621.65
430,,Fragrance,Mascara,1716.75
431,Lakme,Fragrance,Mascara,383.57
432,Forest Essentials,Skincare,Compact,1296.04
433,L'Oreal,Haircare,Sanitizer,2509.14
434,Pond's,Skincare,Perfume,955.82
435,Himalaya,,Body Mist,2053.71
436,,Skincare,Body Mist,4935.94
437,Biotique,Haircare,Handwash,837.07
438,Himalaya,Makeup,Sanitizer,1324.03
439,Nykaa Naturals,Personal Care,Serum,4353.55
440,Nivea,Skincare,Hair Mask,1615.97
441,Pond's,Makeup,Lipstick,1727.32
442,Mamaearth,Fragrance,Body Mist,1456.83
443,Lakme,Personal Care,Compact,2734.44
444,L'Oreal,Haircare,Perfume,4006.95
445,Forest Essentials,Haircare,Perfume,924.38
446,Mamaearth,Fragrance,Face Wash,1072.07
447,Biotique,Personal Care,Hair Mask,1844.71
448,Nivea,Haircare,Mascara,3435.51
449,Nykaa Naturals,Skincare,Sunscreen,1321.7
450,The Body Shop,Haircare,Handwash,665.2
451,Nivea,Personal Care,Perfume,4470.78
452,The Body Shop,Personal Care,Deodorant,3226.87
453,Mamaearth,Personal Care,Oil,4869.34
454,Maybelline,Skincare,Sanitizer,2139.49
455,Biotique,Personal Care,Shampoo,2383.06
456,Maybelline,Makeup,Conditioner,2612.3
457,Pond's,Makeup,Serum,226.79
458,The Body Shop,Personal Care,Soap,1022.75
459,Mamaearth,Haircare,,1861.68
460,L'Oreal,,Face Wash,3332.0
461,Biotique,Makeup,Shampoo,3220.68
462,The Body Shop,Haircare,Deodorant,1663.75
463,Nykaa Naturals,Personal Care,Lipstick,2407.68
464,Nykaa Naturals,Makeup,Sanitizer,4259.34
465,Forest Essentials,Makeup,Compact,2702.91
466,Pond's,Skincare,Compact,1051.28
467,The Body Shop,Haircare,Handwash,4212.77
468,Lakme,Fragrance,Body Lotion,3174.2
469,WOW Skin Science,Haircare,Oil,435.52
470,WOW Skin Science,Skincare,Lipstick,4703.6
471,Himalaya,Personal Care,Perfume,1011.19
472,Nykaa Naturals,Skincare,,1753.89
473,Biotique,Fragrance,Body Mist,2268.35
474,Nykaa Naturals,Personal Care,Serum,1318.79
475,Maybelline,Fragrance,Face Wash,2700.2
476,Nykaa Naturals,Fragrance,Handwash,1684.24
477,Lakme,Fragrance,Oil,1228.93
478,Pond's,Skincare,Deodorant,1264.34
479,Lakme,Personal Care,Sunscreen,3272.98
480,The Body Shop,Skincare,Shampoo,1786.02
481,Forest Essentials,Skincare,Face Wash,284.12
482,Forest Essentials,Personal Care,Hair Mask,4606.79
483,Lakme,Haircare,Handwash,1076.7
484,Biotique,Makeup,,394.34
485,Biotique,Skincare,Sanitizer,4581.14
486,The Body Shop,Makeup,Body Mist,1642.12
487,Nivea,Personal Care,Mascara,2077.36
488,Forest Essentials,Personal Care,Handwash,691.12
489,Nivea,Fragrance,Eyeliner,4534.0
490,Mamaearth,Fragrance,Handwash,2738.21
491,Forest Essentials,Haircare,Foundation,4739.42
492,,Fragrance,Oil,2880.33
493,Pond's,Fragrance,Sanitizer,3245.31
494,Mamaearth,Haircare,Perfume,1632.31
495,WOW Skin Science,Skincare,Perfume,3971.56
496,WOW Skin Science,Skincare,Serum,2981.4
497,Nivea,Fragrance,Oil,3431.16
498,Pond's,Haircare,Hair Mask,1606.43
499,Himalaya,,Soap,1076.34
500,Pond's,Makeup,Mask,4711.74
501,L'Oreal,Makeup,Serum,2089.08
502,Nivea,Makeup,Oil,3250.66
503,Pond's,Skincare,Lipstick,2511.23
504,Maybelline,Haircare,Foundation,2284.32
505,Nykaa Naturals,Personal Care,Shampoo,2236.6
506,Pond's,Makeup,Deodorant,1141.97
507,Nivea,Skincare,Hair Mask,2376.48
508,Maybelline,Skincare,,770.2
509,Mamaearth,Makeup,Face Wash,906.1
510,Mamaearth,Personal Care,Mascara,2068.11
511,L'Oreal,Makeup,Sanitizer,3581.4
512,,Personal Care,Serum,
513,Lakme,Skincare,Body Lotion,2171.89
514,Biotique,Personal Care,Soap,477.83
515,Nivea,Skincare,Mask,3163.71
516,Lakme,Makeup,Mask,759.71
517,Nykaa Naturals,Haircare,Body Lotion,1185.62
518,WOW Skin Science,Fragrance,Body Mist,2411.95
519,Pond's,Makeup,Eyeliner,3471.21
520,Mamaearth,,Body Lotion,4965.97
521,Nivea,,Soap,3252.28
522,The Body Shop,Haircare,,3548.39
523,Himalaya,Fragrance,Serum,1726.09
524,Himalaya,Makeup,Body Lotion,3043.96
525,Nykaa Naturals,Personal Care,Handwash,4658.42
526,Pond's,,Sanitizer,1686.61
527,Biotique,Personal Care,Mascara,960.03
528,Lakme,Fragrance,Body Lotion,3143.93
529,Biotique,Fragrance,Mascara,3119.74
530,WOW Skin Science,Skincare,Deodorant,1317.88
531,Biotique,Fragrance,Handwash,1207.93
532,Maybelline,Haircare,Mask,2268.5
533,Maybelline,Haircare,Soap,88.26
534,Lakme,,Body Mist,1332.39
535,Maybelline,Haircare,Serum,1144.19
536,,Makeup,Shampoo,2725.57
537,The Body Shop,Skincare,Shampoo,3624.9
538,L'Oreal,Fragrance,Lipstick,2093.18
539,L'Oreal,Personal Care,Sanitizer,4248.19
540,Maybelline,Makeup,Foundation,2963.39
541,WOW Skin Science,Haircare,,1489.07
542,Lakme,Skincare,,1486.66
543,Nivea,Makeup,Serum,3503.66
544,Lakme,Personal Care,Handwash,4986.3
545,L'Oreal,Makeup,Conditioner,2136.82
546,Lakme,Haircare,Face Wash,783.4
547,L'Oreal,Haircare,Handwash,4633.91
548,WOW Skin Science,Skincare,Hair Mask,2102.52
549,Nivea,Skincare,Foundation,4306.26
550,Nykaa Naturals,Skincare,Perfume,1236.14
551,The Body Shop,Skincare,Compact,4961.45
552,The Body Shop,Haircare,Serum,928.94
553,Mamaearth,Skincare,Body Mist,702.37
554,Mamaearth,Haircare,Mascara,1562.87
555,Maybelline,Makeup,Mask,1390.66
556,Nykaa Naturals,Skincare,Face Wash,4054.48
557,Nivea,Makeup,Moisturizer,3367.79
558,Pond's,Haircare,Face Wash,1173.54
559,L'Oreal,Skincare,Perfume,3101.13
560,L'Oreal,Fragrance,,
561,,Haircare,Hair Mask,
562,WOW Skin Science,,Body Mist,2764.33
563,Nykaa Naturals,Fragrance,Deodorant,1333.64
564,,,Moisturizer,2647.39
565,Nykaa Naturals,Personal Care,Serum,1804.4
566,Biotique,Personal Care,Compact,593.92
567,Nykaa Naturals,Makeup,Mascara,3863.17
568,WOW Skin Science,Skincare,Perfume,1674.26
569,Maybelline,Personal Care,Sanitizer,2765.5
570,Lakme,Fragrance,Lipstick,91.63
571,Himalaya,Haircare,Soap,1668.39
572,Pond's,Skincare,Serum,577.88
573,Forest Essentials,Makeup,Mask,2675.23
574,Nykaa Naturals,Makeup,Hair Mask,2422.29
575,Forest Essentials,,Face Wash,308.91
576,Forest Essentials,Skincare,Handwash,3621.41
577,Mamaearth,Skincare,Deodorant,1346.72
578,Himalaya,Personal Care,Compact,3673.52
579,Himalaya,Skincare,Soap,4263.31
580,Pond's,Haircare,Mask,
581,Lakme,Personal Care,Serum,3460.14
582,,Fragrance,Conditioner,4929.07
583,L'Oreal,Haircare,Handwash,4101.02
584,L'Oreal,Makeup,Body Lotion,647.43
585,Pond's,Skincare,Face Wash,2465.52
586,Nivea,Fragrance,Serum,4887.96
587,Maybelline,Fragrance,Sunscreen,2613.72
588,L'Oreal,Makeup,Shampoo,
589,Biotique,Skincare,Conditioner,92.85
590,The Body Shop,Makeup,Moisturizer,2067.24
591,Lakme,Personal Care,Serum,1250.24
592,Mamaearth,Personal Care,Sanitizer,744.84
593,Lakme,,Body Mist,2843.98
